"source","lib1","sink","lib2"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new RestartContainerCmdExec(...)","com.github.dockerjava.jaxrs.RestartContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new CommitCmdExec(...)","com.github.dockerjava.jaxrs.CommitCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new BuildImageCmdExec(...)","com.github.dockerjava.jaxrs.BuildImageCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new TopContainerCmdExec(...)","com.github.dockerjava.jaxrs.TopContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new TagImageCmdExec(...)","com.github.dockerjava.jaxrs.TagImageCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new PauseContainerCmdExec(...)","com.github.dockerjava.jaxrs.PauseContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
